bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
1.40496,1.78203,1.43121,0.557247,0.541514,1,1,1,1.0,64,3.29249,8.66131,4.07384,9.81665,-15.7031,0.322285,12.8481,16,-15.7355,-16,3.61748,7.45577,0,0,0,
-1.16887,1.76548,5.28253,0.561483,0.542746,1,1,1,1.0,65,7.13219,6.18174,0.520187,-0.904293,-15.2209,-13.639,15.3304,16,-6.80636,-8.10351,1.59046,3.18616,0,0,0,
2.89966,1.43369,0.0250775,0.567932,0.547393,1,1,1,1.0,66,0.600834,9.38204,4.19906,9.40369,-15.6765,0.978925,1.23798,15.9658,-15.9276,-15.2352,6.27999,11.3798,0,0,0,
-8.03721,-7.79161,15.7843,0.480389,0.360298,1,1,1,0.608,67,4.16657,7.47758,1.83527,6.79633,-9.1435,-15.9695,16,16,3.39095,-3.46753,13.6044,-14.7527,0,0,0,
0.834136,0.0475572,-1.21875,0.579689,0.571328,1,1,1,1.0,68,5.53241,5.44717,5.86493,-0.792179,-14.5327,5.92361,2.48987,15.9999,-15.9141,-4.29907,5.09267,10.3048,0,0,0,
4.80363,1.49133,3.01977,0.569367,0.555138,1,1,1,1.0,69,4.30601,9.1173,3.8795,-5.68013,-16,-4.88597,6.106,15.9976,-15.9334,-14.2964,5.40129,9.12043,0,0,0,
6.72855,2.1365,5.91239,0.549886,0.54771,1,1,1,1.0,70,1.56338,3.68147,3.40792,0.354517,-13.2736,-3.26342,-0.0652232,14.2692,-16,-14.2337,-1.8152,3.99454,0,0,0,
-4.75627,2.19183,6.25063,0.521584,0.484202,1,1,1,0.961,71,4.26915,6.30028,0.520814,5.82207,-14.8615,1.90252,15.3899,16,-16,-2.17149,-2.80452,-6.34564,0,0,0,
5.27634,1.64178,-5.44776,0.567492,0.54628,1,1,1,1.0,72,4.19512,7.99944,7.69633,0.574486,-15.4026,14.0935,4.96318,15.9993,-15.9575,-15.1617,3.41863,14.6539,0,0,0,
3.1996,2.09981,1.02078,0.546515,0.551422,1,1,1,1.0,73,9.84082,4.0621,3.25351,-1.53452,-14.8389,7.64271,7.07993,15.9276,-15.4448,-11.3843,-2.2317,-2.31726,0,0,0,
3.01975,2.37763,1.63062,0.565412,0.546228,1,1,1,1.0,74,5.42576,4.03662,4.47639,-0.428621,-15.1383,1.39089,6.79985,16,-10.673,-9.30572,-2.10699,0.456605,0,0,0,
-1.28545,1.46239,6.68983,0.535969,0.524038,1,1,1,1.0,75,9.46667,7.87333,5.28871,-1.59593,-15.5234,-10.2032,14.7001,16,-16,-7.25796,3.77068,3.15681,0,0,0,
2.0969,-2.69586,0.0360559,0.456223,0.434468,1,1,1,0.529,76,5.78083,6.89075,2.06555,8.09025,12.199,-15.4665,-7.39243,7.34594,9.25018,-8.85139,-11.0378,-2.47821,0,0,0,
0.153792,1.95427,7.69962,0.545901,0.538024,1,1,1,1.0,77,9.49849,5.57796,4.97572,-3.51721,-15.3506,-10.5101,15.9744,15.9419,-15.9946,-11.2866,0.647678,2.32826,0,0,0,
-0.530264,1.53535,0.322752,0.559455,0.541427,1,1,1,1.0,78,6.25965,6.94222,6.40051,2.10821,-15.2397,3.15357,12.1746,16,-15.953,-8.92213,4.41509,7.06484,0,0,0,
1.37546,1.61226,-2.57711,0.571695,0.55699,1,1,1,1.0,79,5.76839,7.64277,2.22777,-0.0127642,-15.2815,1.56055,13.8818,16,-15.9677,-12.0157,4.17978,16,0,0,0,
-1.45934,2.73673,1.3079,0.557851,0.529566,1,1,1,1.0,80,8.86736,2.43453,1.92716,-2.08885,-13.8213,1.20598,15.3927,14.5668,-7.99351,-5.6772,-8.47872,-2.47201,0,0,0,
6.54237,2.18348,2.6394,0.573479,0.561436,1,1,1,1.0,81,3.47861,7.50994,3.60216,-6.75176,-15.8805,-3.55213,5.58238,16,-15.5131,-14.6014,1.62086,6.91546,0,0,0,
1.47187,0.269829,5.9575,0.550423,0.528375,1,1,1,1.0,82,9.33392,8.83717,3.59285,-4.27544,-14.8871,-11.1723,7.37526,15.9993,-14.1115,-6.84927,7.03398,4.69208,0,0,0,
1.11669,-3.12552,-2.06271,0.388253,0.390343,1,1,1,0.0,83,4.54559,9.69475,1.95675,6.22584,9.20021,-13.1033,-0.820287,14.7984,13.5431,-14.1937,-16,0.164579,0,0,0,
-0.240692,1.90318,-2.25852,0.559094,0.549044,1,1,1,1.0,84,6.02632,6.06658,1.94139,1.52353,-15.1264,2.04171,15.4031,16,-12.868,-9.0761,1.86144,12.549,0,0,0,
-5.26167,3.30811,2.86818,0.443483,0.445483,1,1,1,0.314,85,8.01381,5.76521,1.76173,3.41268,-16,-1.20621,15.878,15.9772,-6.29215,0.714751,-12.9496,-11.5375,0,0,0,
-0.889515,1.87059,3.61388,0.547691,0.534387,1,1,1,1.0,86,5.64189,5.59427,5.58974,5.16152,-15.1532,0.288727,14.8389,16,-15.5915,-10.7889,1.11076,2.35434,0,0,0,
6.08729,1.97988,10.9182,0.564024,0.550851,1,1,1,1.0,87,5.53402,5.19982,4.17492,-7.55825,-13.7931,-14.1101,7.72635,14.5264,-15.9889,-14.3339,-1.01251,-4.30114,0,0,0,
-0.370015,2.64433,1.33648,0.480518,0.485806,1,1,1,1.0,88,10,5.29338,7.3502,4.58128,-9.98078,7.31419,14.4611,10.3145,-12.8855,-13.483,-6.79018,-6.5014,0,0,0,
2.43102,5.90635,4.93047,0.474989,0.463419,1,1,1,1.0,89,6.41964,5.42138,2.40251,15.9656,10.9655,-15.244,-15.2801,-10.3309,-5.38292,-2.99089,-11.731,6.40932,0,0,0,
2.96852,2.15483,-2.22457,0.568994,0.558926,1,1,1,1.0,90,3.04365,5.93332,2.66958,2.41673,-15.2389,5.4611,3.96609,16,-12.8324,-9.45456,-0.238889,12.0845,0,0,0,
-1.09951,2.27076,5.244,0.528307,0.51648,1,1,1,1.0,91,8.89731,6.1679,1.56191,2.60698,-15.3329,2.44654,13.4036,16,-15.3584,-12.9251,-3.74066,-11.6698,0,0,0,
3.11699,1.01295,4.97108,0.548843,0.533496,1,1,1,1.0,92,7.20746,9.8109,4.6678,-5.52183,-15.4068,-7.02862,11.1401,15.8525,-15.5628,-14.8404,6.84003,5.1651,0,0,0,
-2.5925,1.96522,4.26438,0.550413,0.513361,1,1,1,0.98,93,3.29364,3.88651,3.09222,11.5403,-9.0133,3.20269,12.7087,9.93089,-16,-12.4146,-4.00778,-3.82584,0,0,0,
0.588484,1.6316,-1.45366,0.566458,0.550607,1,1,1,1.0,94,2.69802,9.66338,3.75791,5.47282,-16,2.30699,6.95932,16,-15.7352,-10.0831,6.37119,12.7579,0,0,0,
-1.77912,1.15893,5.01829,0.554237,0.535635,1,1,1,1.0,95,7.81026,9.29308,0.5,-2.00296,-15.3277,-16,15.9155,15.6481,-4.74391,-8.35722,6.87834,6.69338,0,0,0,
6.23093,1.87982,7.53302,0.569128,0.562435,1,1,1,1.0,96,9.70256,5.47165,2.23424,-9.38724,-15.3436,-11.1538,8.56807,16,-13.8349,-14.8338,0.631119,0.95242,0,0,0,
0.128487,1.47509,-2.44686,0.510621,0.501768,1,1,1,1.0,97,8.43455,2.31711,6.60283,1.92398,-1.97175,16,13.0234,5.5037,-15.0537,-10.8434,-12.7101,-3.24093,0,0,0,
6.28458,1.64256,-2.14058,0.572607,0.56051,1,1,1,1.0,98,7.32834,8.67124,5.12589,-8.49739,-15.688,5.80336,8.74829,16,-15.6786,-15.281,4.12492,12.9174,0,0,0,
1.98489,1.28848,5.51638,0.556413,0.542378,1,1,1,1.0,99,7.69538,9.08813,2.60972,-6.32724,-15.2891,-10.6785,14.5705,16,-11.2793,-12.2606,4.21188,3.45765,0,0,0,
0.481294,1.86625,-0.988112,0.545648,0.519446,1,1,1,1.0,100,7.59424,4.77871,8.64487,6.55949,-14.9339,10.8396,15.8297,16,-15.9721,-16,1.12258,1.36962,0,0,0,
