bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
7.35615,3.26385,-10.9799,0.627672,0.356402,0,0,0,0.471,52,3.32596,0.682267,2.04468,-14.6246,-8.90584,-2.00502,16,14.9981,-3.92213,-11.3717,-6.8004,15.6357,2.65531,6.55953,-15.7025,
10.7672,-9.23616,-2.33816,0.627723,0.370476,0,0,0,0.667,53,7.64067,1.27514,5.01331,-2.64995,14.7639,2.81929,1.6777,8.33159,-12.5867,-11.3527,3.82578,0.458621,11.6324,13.1675,-15.9991,
9.22839,14.5141,-2.90996,0.627451,0.425649,0,0,0,0.471,54,3.56398,4.34415,5.03242,-3.7123,-2.51339,2.744,13.5337,1.24834,-11.6609,-15.7676,-14.9327,1.9172,12.6861,14.1491,-15.4609,
-13.6201,-3.57831,1.1787,0.627698,0.405536,0,0,0,0.51,55,0.680663,1.23112,2.37846,13.7969,10.7699,-10.4708,15.989,12.0222,-0.746661,9.17245,-3.26849,-0.984906,14.096,15.5856,-14.8951,
5.05757,-0.688761,-1.62601,0.627582,0.574638,0,0,0,0.941,56,4.48829,4.64668,0.870368,6.72101,7.62983,1.1286,6.88666,1.51467,-14.6614,-7.77331,3.07077,9.71859,15.7229,15.6823,1.19635,
-1.69479,7.01869,-7.27027,0.6273,0.423114,0,0,0,0.588,57,0.500003,2.10586,7.90151,1.64599,5.36796,12.7865,15.027,10.8723,-9.77913,-13.8096,-10.6927,1.14684,-12.4719,13.8935,-15.4944,
5.2843,14.9989,-5.01776,0.627367,0.354797,0,0,0,0.353,58,1.75144,5.39955,4.73198,15.4941,-13.8817,10.9682,1.63968,8.71755,-15.7117,-15.9314,-13.4393,5.79486,13.9349,12.5336,-9.50272,
4.17385,11.54,-8.89296,0.627476,0.377758,0,0,0,0.353,59,0.569962,5.19882,2.33654,-6.96671,3.33103,-0.768706,8.00585,-7.37821,-13.6103,-10.643,-11.3137,10.9928,-6.74808,15.6021,-15.8035,
3.28073,-2.01588,3.23433,0.627761,0.583278,0,0,0,1.0,60,4.19743,1.01891,0.556681,-5.46642,11.3364,-14.7845,14.2977,2.00927,3.67136,-3.01105,-7.42086,3.78605,5.97696,12.2016,-6.72937,
8.3043,3.36833,1.69338,0.627289,0.477181,0,0,0,0.765,61,2.54441,9.10607,0.561088,-13.813,-4.50232,-2.23259,6.571,6.82208,-15.5934,-9.00658,4.1242,10.3989,-3.08237,15.7996,2.38105,
6.99839,10.7455,-9.79405,0.627682,0.43829,0,0,0,0.431,62,3.74897,3.92401,4.6952,0.0275735,2.29078,3.97682,-0.363203,1.04608,-6.935,-9.01156,-11.8966,8.42351,4.63133,15.5256,-15.8527,
3.35259,3.21773,-10.8803,0.627185,0.510153,0,0,0,0.588,63,4.07775,2.11707,7.65487,-5.67184,3.45178,8.86941,12.1468,7.14952,-6.57493,-7.07258,-5.21875,6.55598,1.23651,13.8281,-15.4243,
11.701,11.5444,7.36381,0.62762,0.404893,0,0,0,0.392,64,3.41185,1.76184,0.5,-10.4571,0.750843,-12.6386,11.8423,-0.785478,-13.9049,-13.973,-12.4936,8.36979,2.40883,13.7572,-10.0281,
14.5798,7.27236,-8.92766,0.627679,0.296658,0,0,0,0.392,65,8.6467,1.01327,3.49877,-14.9133,-7.10098,-4.17425,-1.00555,6.82766,-12.0601,-11.7527,-10.5431,10.1808,3.73058,11.4316,-15.3324,
11.3075,3.80322,-0.729014,0.627156,0.438397,0,0,0,0.49,66,9.73391,2.14947,6.60527,-6.54605,3.80806,-0.852364,1.2246,1.09901,-15.3813,-9.85102,-5.47067,0.227421,7.58228,12.8162,-15.9677,
3.99941,7.62784,6.60157,0.627613,0.38001,0,0,0,0.549,67,8.87653,5.66141,3.17751,1.1134,-7.7834,-12.6987,0.598326,10.273,-12.6024,-4.0729,-3.15664,-0.639331,8.35471,15.726,-13.0182,
5.63664,11.9278,-6.38398,0.627318,0.33857,0,0,0,0.392,68,9.46771,5.74603,0.575419,-3.16788,4.39591,-3.95749,9.61611,-7.37534,-11.922,-5.89203,-12.3192,11.611,15.9212,15.5246,-14.7547,
9.31055,0.487164,-10.3126,0.627221,0.461804,0,0,0,0.706,69,2.9589,8.58219,3.37572,-13.2962,-2.93542,0.261612,14.5121,7.72207,-12.9273,-13.1866,6.81222,14.4809,-4.58227,16,-14.1017,
-0.205536,9.85719,0.801644,0.62724,0.533624,0,0,0,0.784,70,8.58722,1.6256,3.90023,-6.2316,6.45079,-11.4678,10.3288,-4.88973,-2.93932,1.44959,-13.8852,3.04722,4.24979,11.5573,-14.3225,
6.88603,-5.29148,2.61478,0.627048,0.505754,0,0,0,0.725,71,7.92119,7.24382,2.66473,-7.04966,4.54889,-15.7202,5.38501,8.85714,-11.238,-6.10079,9.00797,5.83833,4.89932,16,-16,
7.1086,8.47656,-2.85772,0.62738,0.527064,0,0,0,0.667,72,5.20808,5.66306,3.1133,2.8214,-8.69572,-7.2774,12.7666,6.25492,-8.46398,-10.7577,-3.66195,6.40672,14.424,15.1109,-12.466,
15.0062,5.83181,-13.1018,0.627717,0.316537,0,0,0,0.275,73,5.9102,2.37098,5.40842,-9.5564,11.915,13.0953,-0.0349657,8.78303,-8.59857,-13.9341,-13.919,7.05244,-1.26218,13.5897,-15.1281,
