bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
2.80896,-2.3411,-0.144675,0.613909,0.61419,1,1,1,1.0,56,3.74491,4.99063,0.534999,1.58195,13.779,-8.96136,9.51425,-3.23327,-14.169,-13.354,6.21946,7.82908,8.17121,15.9824,-6.80385,
-3.79366,2.97151,9.17909,0.626364,0.625084,1,1,1,1.0,57,5.88927,1.5531,0.5,7.62393,8.79045,-15.9305,15.7848,-1.43153,-13.8885,2.42295,-7.22318,-1.07094,13.1037,15.864,-2.76976,
-0.368872,1.899,3.78367,0.624132,0.625236,1,1,1,1.0,58,2.75363,2.29925,1.93717,14.289,2.04714,-12.4954,15.118,9.53442,-10.3729,-8.19628,-5.27376,-4.13862,15.9902,15.7715,-14.9523,
-2.43466,1.09567,-2.48437,0.623817,0.62516,1,1,1,1.0,59,2.39805,2.17412,0.930374,-1.46774,6.70699,-16,13.5361,11.0719,8.34452,1.65646,-6.87977,10.7531,3.39828,15.9742,-9.81366,
2.70241,-0.687156,-2.70108,0.622965,0.624818,1,1,1,1.0,60,4.00107,6.5796,1.63214,-12.3581,-3.09781,-5.42465,14.9586,13.6765,-15.3906,-6.66666,5.02398,14.3945,-2.45807,15.8585,-12.6659,
-1.94851,4.5624,-0.946634,0.621964,0.623237,1,1,1,1.0,61,4.05114,2.97823,0.894213,-2.19344,9.53737,-16,12.8773,6.56561,2.946,2.8166,-14.8698,8.2014,5.07017,16,-15.9523,
0.361319,-0.217937,-5.2382,0.62388,0.622047,1,1,1,1.0,62,9.86031,6.39622,2.78064,2.48165,-7.14401,1.0292,7.20875,16,-15.9641,-1.94001,6.59089,12.909,11.7233,15.8903,-14.501,
0.765236,1.7866,2.2003,0.624375,0.625214,1,1,1,1.0,63,1.81555,1.46248,2.23971,15.9379,11.6515,-7.33132,6.9768,0.166886,-10.5697,-11.8244,-7.18784,-2.88171,11.2014,15.7149,-13.872,
1.37995,-1.25559,-0.221729,0.620558,0.622867,1,1,1,1.0,64,2.89688,0.565647,2.22711,-6.41061,15.0611,-5.95275,14.664,10.8719,-5.20307,-9.93789,-3.9684,2.1506,2.26072,15.4207,-15.2277,
2.02855,3.25492,3.7392,0.614635,0.620816,1,1,1,1.0,65,2.73471,2.0877,0.905193,-9.24496,0.8236,-12.9116,15.6791,11.7313,-8.48702,-9.80338,-10.2754,-4.35861,-1.71664,15.7517,-15.9208,
-0.16025,0.224584,2.20665,0.621184,0.623644,1,1,1,1.0,66,0.533016,3.967,4.50389,-2.2754,-0.737098,-0.13443,13.2313,13.2087,-15.8897,-10.0453,0.283604,-3.576,-10.8369,15.9374,-15.0452,
